NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Chris,Usher,USH,us,8758,1764,11354.83,15
Veasna,Sokhom,SNA,us,42359,8192,406.80,3
Tony,Santamaria,Romulus,ca,38739,1118,530.00,3
-,-,d00m,ca,62212,1895,100.00,1
Kévin,Cataphard,wAKKa,ca,36990,1055,602.77,5
Samuel,Larouche,samr0ck,ca,62227,1896,100.00,1
Patrick,Dupont,theguy^,ca,24527,752,1663.33,8
Damian,Żarski,DiAMon,pl,29667,539,1056.98,6
Karol,Rodowicz,rallen,pl,631,12,234332.17,136
Michał,Majkowski,michi,pl,9953,194,9371.93,33
Mateusz,Kołodziejczyk,matty,pl,6690,132,16781.29,70
Norbert,Bagiński,Norbiak,pl,32545,588,863.36,8
Jérôme,Mancini,Smygande,fr,25033,1022,1594.29,5
Louis,Bertrand,Minar,fr,46303,2004,302.29,3
Damien,Ricardo,da,fr,50349,2165,238.99,2
Morgan,Poulanges,Nathan,fr,64658,2936,81.51,1
Fabien,Remetter,eTRR,fr,48743,2124,258.72,3
Jonathan,Rivas,splyyy,be,29488,165,1078.90,3
Léonard,Michelino,Smyli,fr,11880,467,6948.51,23
Quentin,Arcelus,akin,fr,58182,2555,134.90,3
Timothée,Démolon,DEVIL,fr,2099,78,70989.65,53
Florian,Evelette Bedier,Belette,fr,73800,3447,33.99,1
Iván,González,Zigurath,es,25158,437,1572.98,7
Isaac,Flores,xPePii,es,12463,193,6368.18,11
-,-,-,fr,0,0,0.00,0
Amélie,Raoul,aME,fr,16262,631,3916.48,9
Laura,Le Bars,Ceriizz,fr,16263,632,3916.48,9
Artern,Pivarovich,Newb1k,ru,48664,1875,260.00,2
Alexander,Churochkin,NoFear,ru,928,28,163273.44,36
Vasily,Shishkin,Afterlife,ru,1052,31,144339.73,62
Maxim,Abramovskikh,Shaclo,ru,1900,80,79627.81,48
Maxim,Kim,yoky,ru,1231,37,121121.69,44
Evgeniy,Vlasenko,Windx,ru,21065,782,2318.86,5
-,-,ARSENY_,ru,46314,1775,301.82,3
Denis,Gurov,Bounty,ru,37629,1415,592.12,2
Ruslan,Bekbosunov,TOPORRR,kz,20415,65,2498.64,13
Askerov,Nursultan,Reeves,kz,19058,61,2864.00,18
David,Dae,February,kr,32261,2463,889.48,1
Tae-Young,Kang,JYU,kr,32262,2464,889.48,1
